아이디,국가별,성별,연령별,문1. 주요 방한 목적,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1,문3-1. 고려한 관광활동_1,문3-2. 고려한 관광인프라_1,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,문9-5. 주요 이용 숙박시설_1,문9-5. 주요 이용 숙박시설_2,문9-5. 주요 이용 숙박시설_3,문9-5. 주요 이용 숙박시설_4,문9-5. 주요 이용 숙박시설_5,문9-5. 주요 이용 숙박시설_6,문9-5. 주요 이용 숙박시설_7,문9-5. 주요 이용 숙박시설_8,문9-5. 주요 이용 숙박시설_9,문9-5. 숙박시설별 숙박기간_호텔,문9-5. 숙박시설별 숙박기간_모텔/여관,문9-5. 숙박시설별 숙박기간_콘도미니엄/리조트,문9-5. 숙박시설별 숙박기간_게스트하우스/호스텔,문9-5. 숙박시설별 숙박기간_민박/펜션,"문9-5. 숙박시설별 숙박기간_학교/회사 기숙사, 연수원 등",문9-5. 숙박시설별 숙박기간_친척 또는 친구 집,문9-5. 숙박시설별 숙박기간_기타,숙박시설_그룹,여행동반자_그룹,방문 지역 수,주요 체재 지역
169,3,2,6,1,1,9.0,3.0,6.0,200.26,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,단체형,1,부산
172,5,2,4,1,3,4.0,2.0,6.0,310.1575,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
173,5,2,2,1,4,7.0,13.0,3.0,375.19465,6.0,1.0,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
174,2,2,2,1,2,7.0,2.0,3.0,331.333333333333,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
176,3,2,6,1,2,4.0,4.0,8.0,179.265,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,단체형,1,부산
184,2,2,3,1,4,8.0,2.0,4.0,236.666666666667,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
186,4,2,5,1,4,2.0,5.0,2.0,125.0,4.0,,2.0,,,,,,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,모텔/여관,가족형,1,인천
187,4,2,6,1,3,2.0,11.0,6.0,100.0,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
189,4,1,4,1,1,1.0,7.0,6.0,222.222222222222,9.0,1.0,,,4.0,,,,,,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,게스트하우스/호스텔,가족형,4,서울
190,3,2,4,1,2,4.0,3.0,3.0,180.88,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,단체형,2,부산
191,3,1,4,1,1,1.0,1.0,4.0,355.3,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,단체형,2,서울
192,2,2,4,1,1,7.0,5.0,4.0,260.333333333333,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
194,3,1,3,1,1,1.0,16.0,6.0,164.73,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
195,1,2,3,1,1,7.0,12.0,3.0,335.52,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
196,3,2,5,1,2,10.0,1.0,2.0,138.498484848485,6.0,,,3.0,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,콘도미니엄/리조트,단체형,2,서울
200,3,2,3,1,1,10.0,2.0,4.0,242.25,6.0,,,3.0,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,콘도미니엄/리조트,복합형(가족+친구),2,서울
202,5,2,4,1,2,3.0,2.0,9.0,159.875,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
204,5,1,3,1,1,1.0,2.0,3.0,166.27,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
206,19,2,2,1,3,9.0,10.0,6.0,547.35,4.0,,2.0,,,,,,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,모텔/여관,혼자형,1,서울
207,1,2,6,1,4,7.0,9.0,2.0,148.5375,16.0,,,,,,,7.0,,,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,친척 또는 친구 집,혼자형,1,서울
208,2,1,2,1,1,7.0,2.0,5.0,236.666666666667,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
211,4,2,5,1,1,1.0,5.0,6.0,416.666666666667,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
212,4,1,2,1,1,1.0,1.0,6.0,416.666666666667,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
215,1,2,2,1,2,6.0,14.0,4.0,1118.4,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
216,1,2,1,1,1,7.0,1.0,6.0,153.78,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
221,2,2,4,1,1,5.0,11.0,3.0,266.25,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,부산
222,1,2,2,1,1,1.0,11.0,3.0,120.228,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,2,인천
230,1,2,3,1,3,7.0,8.0,2.0,292.415,6.0,1.0,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
231,1,1,2,1,2,7.0,9.0,11.0,239.058,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
232,6,2,3,1,1,1.0,5.0,4.0,163.52,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,복합형(가족+친구),1,부산
235,12,1,2,1,2,9.0,1.0,6.0,357.142857142857,7.0,,,,4.0,,,7.0,,,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,게스트하우스/호스텔,친구형,2,서울
236,1,2,5,1,1,8.0,3.0,9.0,209.7,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
237,1,2,2,1,1,9.0,1.0,6.0,256.3,6.0,1.0,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
239,2,2,5,1,4,2.0,13.0,4.0,242.82,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
