아이디,국가별,성별,연령별,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1,문3-1. 고려한 관광활동_1,문3-2. 고려한 관광인프라_1,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,숙박시설_그룹,여행동반자_그룹,방문 지역 수,주요 체재 지역,식비_비율,국내 교통비_비율,체험/활동비_비율,뷰티/의료비_비율,여행 서비스비_비율,숙박비_비율,쇼핑비_비율,기타 비용_비율
8354,8,2,5,2,6,4.0,2,4,2.0,호텔,복합형(가족+친구),2,서울,0.106,0.0,0.0,0.0,0.3617021276595745,0.0,0.5319148936170213,0.0
8355,10,2,6,1,1,1.0,3,2,2.0,호텔,가족형,3,서울,0.025,0.0,0.0,0.0,0.7699852869053454,0.0,0.1961745953898972,0.0093182932810201
8357,4,2,5,2,7,5.0,6,4,3.0,호텔,친구형,1,서울,0.257,0.0675675675675675,0.0,0.0,0.0,0.4504504504504504,0.2252252252252252,0.0
8358,4,1,3,1,7,1.0,6,3,3.0,게스트하우스/호스텔,친구형,1,서울,0.217,0.0760869565217393,0.0,0.0,0.0,0.1630434782608698,0.5434782608695642,0.0
8363,4,1,2,1,7,9.0,6,2,4.0,게스트하우스/호스텔,혼자형,1,서울,0.602,0.0300751879699248,0.075187969924812,0.0,0.075187969924812,0.0902255639097744,0.1278195488721804,0.0
8367,4,2,3,1,1,4.0,4,2,3.0,호텔,친구형,1,서울,0.227,0.125,0.0,0.0,0.0,0.4545454545454548,0.1136363636363636,0.0795454545454546
8370,1,1,6,1,1,1.0,1,2,1.0,호텔,가족형,2,경기,0.0,0.0,0.0721649484536082,0.0,0.6185567010309283,0.0,0.3092783505154634,0.0
8372,9,2,2,1,1,5.0,3,2,3.0,호텔,친구형,2,서울,0.261,0.0,0.0,0.0,0.0,0.3043478260869565,0.4347826086956521,0.0
8373,1,2,5,1,1,2.0,4,2,1.0,호텔,가족형,2,경기,0.0,0.0,0.0721649484536082,0.0,0.6185567010309283,0.0,0.3092783505154634,0.0
8374,2,2,2,4,6,2.0,4,2,1.0,호텔,친구형,1,서울,0.202,0.0202224469160768,0.0,0.2022244691607684,0.3538928210313447,0.0,0.2022244691607684,0.0192113245702729
8375,15,1,2,1,1,1.0,3,2,4.0,호텔,가족형,2,서울,0.233,0.1253644314868804,0.0,0.0,0.0,0.4373177842565597,0.2040816326530612,0.0
8378,2,2,5,4,2,2.0,2,2,1.0,호텔,친구형,1,서울,0.346,0.0346420323325635,0.0,0.0,0.0,0.2309468822170902,0.346420323325635,0.041570438799076
